ECG,63093,-43854,
PPG,63097,104662,107742
ECG,63100,-45177,
PPG,63107,104687,107775
GSR,63109,479,
ECG,63110,-45204,
PPG,63117,104670,107785
ECG,63118,-44854,
ECG,63125,-44396,
PPG,63128,104669,107800
ECG,63133,-44910,
PPG,63136,104665,107799
ECG,63141,-45389,
PPG,63147,104683,107784
ECG,63150,-44366,
PPG,63157,104679,107793
ECG,63158,-45930,
GSR,63163,479,
ECG,63165,-43864,
PPG,63169,104669,107773
ECG,63173,-45561,
PPG,63177,104667,107771
ECG,63181,-44102,
PPG,63186,104660,107754
ECG,63188,-46491,
PPG,63197,104656,107739
ECG,63198,-44216,
ECG,63205,-46061,
PPG,63208,104648,107738
ECG,63213,-43756,
PPG,63217,104637,107750
GSR,63220,478,
ECG,63221,-46332,
PPG,63227,104652,107744
ECG,63229,-43749,
PPG,63237,104646,107759
ECG,63239,-46284,
ECG,63245,-43847,
PPG,63249,104654,107757
ECG,63252,-46432,
PPG,63257,104648,107773
ECG,63261,-44442,
PPG,63267,104675,107795
ECG,63268,-46124,
PPG,63277,104654,107810
GSR,63278,479,
ECG,63279,-44346,
ECG,63285,-45520,
PPG,63288,104665,107829
ECG,63293,-44562,
PPG,63297,104695,107838
ECG,63301,-45346,
PPG,63307,104695,107859
ECG,63309,-44503,
PPG,63318,104706,107890
ECG,63319,-44831,
ECG,63325,-44875,
PPG,63328,104713,107910
ECG,63333,-44872,
GSR,63335,478,
PPG,63338,104706,107933
ECG,63340,-46287,
PPG,63347,104731,107983
ECG,63348,-44903,
PPG,63357,104740,108000
ECG,63358,-46304,
ECG,63365,-44324,
PPG,63369,104757,108002
ECG,63373,-45091,
PPG,63377,104769,108019
ECG,63381,-43024,
PPG,63387,104773,108053
ECG,63388,-45004,
GSR,63393,478,
PPG,63397,104771,108053
ECG,63399,-43043,
ECG,63405,-45505,
PPG,63408,104778,108088
ECG,63413,-42446,
PPG,63418,104816,108124
ECG,63421,-43788,
PPG,63428,104787,108130
ECG,63428,-42981,
PPG,63437,104801,108156
ECG,63438,-47293,
ECG,63444,-45059,
PPG,63449,104795,108162
GSR,63450,478,
ECG,63453,-46465,
PPG,63458,104813,108186
ECG,63461,-44313,
PPG,63468,104826,108213
ECG,63469,-46301,
ECG,63476,-45608,
PPG,63479,104838,108232
ECG,63484,-46331,
PPG,63488,104847,108239
ECG,63493,-44886,
PPG,63498,104871,108248
ECG,63501,-45246,
GSR,63505,479,
PPG,63508,104838,108262
ECG,63508,-44447,
PPG,63517,104849,108279
ECG,63518,-43271,
ECG,63524,-37072,
PPG,63528,104876,108297
